Question,Class
How many chambers does the amphibian heart have?,Remembering
What is a transfusion?,Remembering
Which of these is a function of the blood plasma?,Remembering
What are antibodies?,Remembering
Name the constituents of the mammalian blood.,Remembering
List the substances transported by the blood circulatory system.,Remembering
"The circulatory system consists of three main parts, name them.",Remembering
Name the parts of a typical vertebra.,Remembering
Describe the structure of a typical vertebra.,Remembering
Name one type of bone and give one example.,Remembering
"Name the group of muscles, which originate from the upper shaft of the femur on the front of the thighs.",Remembering
"Name the group of muscles, which originate from the back of the base of the femur and insert via the Achilles tendon into the heel.",Remembering
Name the three different types of muscle and give one example for each.,Remembering
What are ligaments and what do they do?,Remembering
Name the two movements which take place at a hinge joint.,Remembering
"Excluding the hinge joint, name two other types of synovial joint and give one example of each.",Remembering
Name the type of muscular contraction where the muscles contract but stay the same length.,Remembering
What is the ion necessary for muscle contraction?,Remembering
Where is the Ball and socket joint found?,Remembering
Control of blood glucose by the liver is an example of homeostasis. Name one other factor in the human body that is also controlled by homeostasis,Remembering
Name two places in the body where glycogen is stored,Remembering
What is included in the central nervous system (CNS)?,Remembering
Name the three different types of neurone.,Remembering
What moves across the synapse?,Remembering
What three parts are contained in the brain?,Remembering
What part of the eye controls the amount of light entering it?,Remembering
Name the three parts of the body which make up the nervous system.,Remembering
What part of the nervous system does the vertebral column protect?,Remembering
"The Endocrine system is made up of a series of hormone glands. Name one hormone gland, the hormone it secretes and what that hormone controls.",Remembering
Nerves are made up of neurons which can be divided into two types. Name both types and explain their function.,Remembering
"The endocrine system is made up of a series of hormone glands, name three of them.",Remembering
What part of the nervous system does the skull protect?,Remembering
"What is the name given to the part of the nervous system, which occurs without us thinking about it?",Remembering
"Sensory or receptor organs can be divided into three types, name them.",Remembering
Name the part of the body that carries messages from the brain to the other parts of the body.,Remembering
"In reproduction, what is fertilisation?",Remembering
What is a zygote?,Remembering
Where are the female sex cells contained?,Remembering
What is ovulation?,Remembering
What is the another common disease of the prostate?,Remembering
Prostate is one of the accessory glands associated with the male reproductive system. Name another accessory gland that’s associated with the male reproductive system.,Remembering
Which ligament contains the ovarian artery?,Remembering
"Mr. Smith has a son, Tim who had recently gotten married. They are trying to get pregnant. Where does the fertilised egg usually implant?",Remembering
Cow’s milk is different from human milk. Cow’s milk should not be given to young human babies.  Scientists in China have genetically engineered cows to produce human milk.  Milk from these cows can be fed to young human babies. What is genetic engineering? ,Remembering
"People with cystic fibrosis make large amounts of thick, sticky mucus in their lungs. Cystic fibrosis is caused by the inheritance of recessive alleles. What does allele mean?",Remembering
What is a mutation?,Remembering
List the five kingdoms into which most living organisms can be classified.,Remembering
Which two gases are exchanged when living organisms breathe?,Remembering
Where are chromosomes located inside the cell?,Remembering
"What do the initials CITES, WWF and IWC stand for?",Remembering
What term is used to describe the range of organisms in a habitat?,Remembering
Name three sources of energy which do not depend on fossil fuel.,Remembering
Name three sources of biofuel (fuel derived from biological sources).,Remembering
What are the basic biological units that allow traits to be passed from parents to offspring?,Remembering
What are the three domains of life?,Remembering
What are the basic units of life?,Remembering
"Approximately, how long have organisms been evolving on Earth?",Remembering
Biology is the study of what?,Remembering
Archaea were originally found in which of these environments?,Remembering
What is a distinguishing feature of the cells of organisms from the domain Eukaryota?,Remembering
What is a special characteristic of cyanobacteria?,Remembering
What does DNA stand for?,Remembering
How much of a father's genetic material is passed to each of his offspring?,Remembering
What is 'excretion'?,Remembering
What are the four molecules of life?,Remembering
What kingdom of life do humans belong to?,Remembering
Name the four steps to natural selection,Remembering
What are the 7 properties of life?,Remembering
Name the hierarchy for life from smallest to largest.,Remembering
What is a prokaryote?,Remembering
What is a population?,Remembering
What is a eukaryote?,Remembering
What is a community?,Remembering
What is an ecosystem?,Remembering
What is a biome?,Remembering
What is a biosphere?,Remembering
What is taxonomy?,Remembering
What organelle in higher plant cells contains chlorophyll?,Remembering
Which organelle in an animal cell produces spindle fiber during cell division?,Remembering
Which of the cellular components can only be found in animal cells?,Remembering
The control center or brain of the cell is the?,Remembering
The main function of the cell wall is to?,Remembering
A eukaryotic cell contains?,Remembering
"Which organelle is the ""packing center"" for the cell?",Remembering
What is the small dark structure in the nucleus that produces ribosomes?,Remembering
Name 2 things that are present in plant cells but not in animal cells.,Remembering
What is the function of a ribosome?,Remembering
"Rank the following terms from simplest to most complex: cells, organelles, organs, tissue, organism.",Remembering
"Name organelle serves as a ""workbench"" for the ribosomes?",Remembering
What is an enzyme filled organelle for breaking down waste in the cell?,Remembering
What is the name for cellular intake of fluid and small solutes?,Remembering
What term describes the sugar in a glass of lemonade?,Remembering
What elements make up a carbohydrate?,Remembering
What term describes the amount of energy that must be absorbed before a chemical reaction can start?,Remembering
What are the parts that make up the lock-and-key model of enzyme function?,Remembering
What term describes the reactants that an enzyme acts on?,Remembering
Acidic solutions have a pH that is?,Remembering
All organic compounds contain the element?,Remembering
The following molecules are mirror images of each other.  What is the term for this?,Remembering
What is the correct term for the energy releasing graph below?,Remembering
Which term describes the tendency of a water molecule to stick to another water molecule?,Remembering
Which term describes the tendency of a water molecule to stick to different types molecules?,Remembering
The diagram below shows a water molecule.  What do the charges on either end of the molecule indicate about the molecule?,Remembering
What structure is found in plant cells but not in animal cells?,Remembering
What materials makes up a cell membrane?,Remembering
What type of receptor is within a cell?,Remembering
"What type of membrane allows some, but not all, materials to cross?",Remembering
Which part(s) of a phospholipid is hydrophobic?,Remembering
What term describes the diffusion of water through a semipermeable membrane down a concentration gradient?,Remembering
Living cells are continuously making a variety of proteins. This process occurs on what organelle?,Remembering
"There are two types of cell division, mitosis and meiosis. Define mitosis.",Remembering
Name the protein subunit that is found within microtubules.,Remembering
When does DNA replication occur in the cell cycle?,Remembering
Where are centrosomes (microtubule-organizing-centers) located in an animal cell?,Remembering
Which body compartment is directly proportional to basal metabolic rate?,Remembering
What is the definition of respiration?,Remembering
What is the equation of respiration?,Remembering
Which 2 organs of the body use glucose as fuel?,Remembering
The intercostal muscles are very important in the process of breathing. Where are they located?,Remembering
Name the last stop of the urinary track?,Remembering
Name part of the brain detects the amount of CO2 in the blood?,Remembering
Define Pneumonia.,Remembering
Name the organ breaks down old red blood cells and stores iron for haemoglobin?,Remembering
"Name organ(s) collects and excretes urea, excess salts, and water?",Remembering
Specify the functional unit of the kidney.,Remembering
Identify the molecule in human blood that carries oxygen.,Remembering
Which two structures does the trachea lead to in the lungs?,Remembering
What are the tiny air sacs in the lungs called?,Remembering
Define PRODUCTION and RESPIRATION.,Remembering
Describe what is meant by the structure and function of an ecosystem,Remembering
Name four types of disturbance in tropical forests.,Remembering
Define: shifting cultivation.,Remembering
Describe the theory of island biogeography.,Remembering
Define ecology.,Remembering
Identify at least 3 changes that biologists have noticed along habitat edges.,Remembering
"In his presentation on the U.S. Endangered Species Act, Rick Enser discussed 5 basic reasons for listing a species as Endangered or Threatened.  List at least 3 of these reasons.",Remembering
"During his lecture on ecological restoration, Frank Golet identified 5 key ingredients to successful restoration.  List at least three of those keys here.",Remembering
What is biodiversity exactly?,Remembering
What are the world’s rarest species?,Remembering
What is a biodiversity hotspot?,Remembering
What are endemic species?,Remembering
Where are biodiversity hotspots located?,Remembering
Compare Calliope with Howie. Use the word bank.,Understanding
Compare historical events to contemporary situations,Understanding
Complete an analogy (analogy tasks are inference tasks),Understanding
Describe 4 types of coupling in software design.,Understanding
Describe how Phillip and Timothy survived on the Cay.,Understanding
Describe in prose what is shown in graph form.,Understanding
Describe in your own words how to borrow a book from the library.,Understanding
Describe in your own words how to copy text from one program into another.,Understanding
Describe in your own words what happens when a stream's velocity slows.,Understanding
Describe in your own words what is meant by a sprained ankle.,Understanding
Describe nuclear transport to a lay person.,Understanding
Describe the Pareto Principle in statistical software quality assurance.,Understanding
Describe what goes in each of the four areas on the first page of notes,Understanding
Describe what took place as the Hato was sinking.,Understanding
Describe how the linear polarization method can yield corrosion rates,Understanding
Describe the major clinical differences between visceral and somatic pain,Understanding
Briefly describe the author's approach to the liabilities of the GOTO statement,Understanding
Describe what happened at...?,Understanding
Determine the author?s point of view,Understanding
Determine the next number in a sequence,Understanding
Discuss the nature of socialism.,Understanding
Explain how Timothy saved Phillip's life.,Understanding
Explain in one's own words how to create a query in a database.,Understanding
Explain in your own words what a recessive gene is.,Understanding
Explain in your own words what do you mean by the term economics?,Understanding
Explain in your own words what is meant by mercantilism.,Understanding
Explain the causes of historical events,Understanding
Explain the communicative property.,Understanding
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Understanding
Explain the possible uses described in class for the space to the left of the vertical line.,Understanding
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Understanding
Explain what a poem means.,Understanding
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Understanding
Express your opinion of 'Drugs in Sport' through poetry.,Understanding
From a blueprint to describe the article depicted.,Understanding
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Understanding
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators ?",Understanding
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Understanding
Illustrate what you think the main idea was.,Understanding
In one sentence explain the main idea of a written passage.,Understanding
In one sentence illustrate the main point of a written passage.,Understanding
Interpret the pictures.,Understanding
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Understanding
Outline the most important insight of the tale.,Understanding
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Understanding
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Understanding
Paraphrase an important speech,Understanding
Paraphrase what Hamlet is saying in his soliloquy.,Understanding
Paraphrase the poem in your own words,Understanding
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Understanding
Describe the output of this program fragment:,Understanding
Classify types of corrosion inhibitors ?,Understanding
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Understanding
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Understanding
"Classify the following substances as particle, atom, element, molecule, compound",Understanding
How would you classify the geographic location of your school,Understanding
Classify animals into two groups.,Understanding
Classify celebrations into family and community categories.,Understanding
Classify frogs toads and other amphibians.,Understanding
Restate main idea of story in own words.,Understanding
Restate the Olympic motto in your own words.,Understanding
Retell the story in your words.,Understanding
Rewrite the principles of test writing.,Understanding
Rewrite you predicted equation for the ideal gas law,Understanding
Rewrite the markov matrix to account for this slight change.,Understanding
"Rewrite the sentence in your head, following the direction given below",Understanding
Rewrite a part in the poem using a different speaker,Understanding
Select the best title for a passage,Understanding
State in your own words the rule for balls and strikes in baseball.,Understanding
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Understanding
Can you state in your own words what the problem is asking you to do,Understanding
State in your own words what the author means when he says,Understanding
Summarize a historical document,Understanding
Summarize a story in own words.,Understanding
Summarize Jem?s beliefs about Boo Radley,Understanding
Summarize the basic tenets of collaborative conservation.,Understanding
Summarize the basic tenets of deconstructionism.,Understanding
Summarize this magazine article.,Understanding
Tell how Phillip kept himself alive after Timothy died.,Understanding
Tell in your own words how the setting of the story made it more interesting.,Understanding
Tell in your own words the beginning of the book.,Understanding
"In your own words, tell what is meant by the definition of an isosceles triangle.",Understanding
"In your own words, how would you define transferable skills",Understanding
Translate a written text aloud from L2 to English.,Understanding
Translate an equation into a computer spreadsheet.,Understanding
Translate an equation into a spreadsheet formula.,Understanding
Translate the following passage from The Iliad into English.,Understanding
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel. ?,Understanding
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Understanding
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Understanding
How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Understanding
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Understanding
Express the rule in function notation,Understanding
Express the following systems in matrix form,Understanding
Express the following percentages as fractions in simplest form,Understanding
Explain the whole method of crushing,Understanding
"In your own words, how would you summarize the story up ",Understanding
Summarize the main point of these two texts in your own words ,Understanding
Outline the aim of two studies within the ,Understanding
Outline your experience in working with service users,Understanding
What are the advantages of a closed circulatory system over an open circulatory system?,Understanding
What is the difference between octopuses and mussels regarding their circulatory systems? How does that difference have an effect on the mobility of these animals?,Understanding
Why can flying insects such as flies beat their wings at a great speed despite having an open circulatory system?,Understanding
How does the heart pump blood?,Understanding
What is the difference between systole and diastole?,Understanding
"Which contain more muscle tissue, arteries or veins? How different are the walls of these two types of blood vessels?",Understanding
How do the muscles of the legs and feet contribute to venous return?,Understanding
What are varices? Why are they more common on the lower limbs?,Understanding
Why may clinical signs regarding the lymphatic system be observed during inflammatory and infectious conditions?,Understanding
"Concerning the thickness of their walls, how different are the chambers of the heart?",Understanding
Which chamber of the heart does blood enter first? Where does blood go after passing through that chamber? What is the name of the valve that separates the chambers? Why is that valve necessary?,Understanding
What is the name of the valve that separates the right ventricle from the pulmonary artery? Why is that valve important?,Understanding
Do the arteries that carry blood from the heart to the lungs contain arterial or venous blood? What happens to blood when it passes through the lungs?,Understanding
What is the function of the left ventricle? Where does the blood go after leaving the left ventricle?,Understanding
What valve separates the aorta from the heart? What is the importance of that valve?,Understanding
Is ventricular lumen larger during systole or diastole?,Understanding
During what stage of the cardiac cycle are the ventricles filled with blood?,Understanding
What type of tissue is the heart composed of? How is this tissue oxygenated and supplied with nutrients?,Understanding
How do respiratory pigments work?,Understanding
"How different are oxyhaemoglobin and hemoglobin? Where are you more likely to find a higher concentration of oxyhemoglobin, in peripheral tissues or in the lungs?",Understanding
What is hemoglobin F? Why does the fetus need a different type of hemoglobin?,Understanding
"At high altitudes, is it necessary for blood to contain more or less hemoglobin?",Understanding
What substance stimulates the production of red blood cells? Which organ secretes it? Under what conditions is it secreted at higher rates?,Understanding
Why is carbon monoxide toxic to humans?,Understanding
During what stage of cellular respiration is carbon dioxide released?,Understanding
How is carbon dioxide released by cellular respiration transported from tissues to be eliminated through the lungs?,Understanding
What is the difference between double closed circulation and simple closed circulation?,Understanding
Does the fish heart pump venous or arterial blood?,Understanding
Why is the circulatory system of fish classified as simple and complete circulation?,Understanding
Why can amphibian circulation be classified as double and incomplete?,Understanding
What is the difference between the amphibian heart and the reptile heart?,Understanding
"How many chambers do the hearts of birds and mammals have? Concerning temperature maintenance, what is the advantage of the double and complete circulation of these animals?",Understanding
"Concerning the mixture of arterial with venous blood, what is the difference between human fetal circulation and adult circulation?",Understanding
What causes the heart to contract?,Understanding
What is the risk of getting a disease from a transfusion?,Understanding
What are the risks of not having a transfusion?,Understanding
Why do large multicellular organisms need transport systems while simple unicellular organisms do not?,Understanding
How is carbon dioxide transported in the blood?,Understanding
How are human red blood cells adapted to their function?,Understanding
What type of cell are phagocytes?,Understanding
What is the role of the phagocytes in the immune system?,Understanding
What can vaccination involve?,Understanding
Vaccination results in the manufacture of memory cells. What do these do?,Understanding
What is the purpose of blood clotting after a skin wound?,Understanding
"In humans, the blood circulatory and lymphatic systems transport body fluids. Outline the functions of the lymphatic system.",Understanding
How is the lymphatic system different from the blood circulatory system,Understanding
"Explain the changes that occur in the composition of blood as it passes through the capillaries of the following parts of the body which are lungs, liver and kidneys.",Understanding
Give three structural differences between an artery and a vein.,Understanding
What are the differences in blood content between the blood carried by hepartic portal vein and hepatic vein,Understanding
Why is it an advantage for blood to pass through the heart twice in order to circulate around the body?  ,Understanding
Distinguish between Diastole and systole  ,Understanding
Distinguish between Single and double circulation  ,Understanding
Distinguish between open and closed circulatory system,Understanding
Distinguish between Systemic and Pulmonary circulation,Understanding
Why do people living in high altitudes have more red blood cells than those living in low altitude areas,Understanding
Explain how blood clotting occurs in humans,Understanding
Describe the process of blood circulation in the heart,Understanding
How is the heart adapted to its functions?,Understanding
Discuss the importance of blood circulation in the body,Understanding
Which part of the blood is responsible for transporting oxygen around the body? Give the reasons,Understanding
What two steps are carried out by a phagocyte to destroy a microbial invader? Describe the answer.,Understanding
What is a function of platelets in the blood,Understanding
Which vessel returns blood from the body to the heart? Explain.,Understanding
What is the function of valves in the circulatory system?,Understanding
Which chamber of the heart contracts with the highest pressure? Describe.,Understanding
The walls of which type of blood vessel are only one cell thick? Give the reasons.,Understanding
Describe the three general components of the circulatory system in humans.,Understanding
"Explain the statement, “Mammals keep oxygen-rich and oxygen-poor blood flowing separately through what is known as a double circulatory system.",Understanding
"The pressure exerted by the pumping of the heart is not enough to push the blood back to the heart, especially from the lower limbs.  Explain how the structure of the vein overcomes this problem",Understanding
Describe the three main processes of urine formation,Understanding
What are kidney stones? Why are they a problem?,Understanding
Describe the differences between arteries and veins.,Understanding
What is the heart rate?,Understanding
What is the main function of platelets?,Understanding
Terrestrial plants such as hibiscus plants and aquatic plants such as water lily have certain characteristics for support in their respective environments. Explain how the tissues in these plants are adapted to support the plants.,Understanding
Explain the adaptations of the plant which enable it to float on the water surface.,Understanding
"Explain how muscles, tendon, ligament, bones and joint at the human legs involved when an individual running or walking.",Understanding
What is skeleton? How is it useful to us?,Understanding
What is cranium? Why is it made up of small bones joined together instead of single big bone?,Understanding
Why our backbone is slightly movable?,Understanding
Why some ribs are called true ribs and some are false ribs? What is the difference between them?,Understanding
How many floating ribs do we have? What is their significance in our body?,Understanding
What is the difference between metacarpals and metatarsals?,Understanding
Distinguish between Movement and Locomotion.,Understanding
Distinguish between true ribs and floating ribs.,Understanding
Distinguish between pectoral girdle and pelvic girdle,Understanding
Distinguish between ball and socket joint and hinge joint.,Understanding
State the function of skeleton.,Understanding
State four functions of the skeleton.,Understanding
Explain what happens to a muscle when it contracts and when it relaxes.,Understanding
The response of the skin to cold weather is an involuntary action. Explain how an involuntary action differs from a voluntary action,Understanding
Describe how the nervous system coordinates the response of the skin to cold weather.,Understanding
Explain how negative feedback is involved in the control of body temperature.,Understanding
Control of blood glucose by the liver is an example of homeostasis. Explain how the liver lowers blood glucose concentration when it is too high.,Understanding
Amino acids are processed by the liver. Describe this process.,Understanding
"State one other function of the liver, besides homeostasis and processing amino acids.",Understanding
Explain how an increase in glucose concentration is controlled in the body.,Understanding
If the blood glucose concentration is very high there is a decrease in the water potential of the blood. This may damage the red blood cells. Explain how a decrease in water potential of the blood may damage red blood cells.,Understanding
What are three examples of conditions controlled by homeostasis in the body?,Understanding
Why does the pupil get smaller?,Understanding
How has the different areas of the brain been mapped?,Understanding
How do the different muscles in our eyes help us focus light clearly?,Understanding
Explain the role of exteroceptors within the nervous system and give one example.,Understanding
" Many sports require good reactions. In relation to the nervous system, explain what reaction time depends on.",Understanding
About how long does the menstrual cycle take?,Understanding
 Which way does blood normally pass across the placenta?,Understanding
What is a role of oestrogen?,Understanding
Which hormone is responsible for the development of male secondary sexual characteristics?,Understanding
Describe the role of mutations in evolution.,Understanding
Compare the differences between sexual and asexual reproduction.,Understanding
Describe how mutations in DNA are caused and explain their possible effects.,Understanding
Describe the mains steps in the process of genetic engineering.,Understanding
Describe the process of selective breeding. Give examples in your answer.,Understanding
Compare the structure of prokaryotic and eukaryotic organisms.,Understanding
Describe how to prepare a slide of stained onion epidermal tissue.,Understanding
Describe how you would set up a microscope to examine a prepared slide under high power.,Understanding
Describe two advantages of light microscopes over electron microscopes.,Understanding
What is the difference between genotype and phenotype? Give an example of each in your answers.,Understanding
"The type of earwax produced by humans is controlled by a single pair of alleles. The dominant allele causes wet earwax, and the recessive allele causes dry earwax. What type of earwax would be produced by someone with one of each type of allele?",Understanding
Explain how inheritance of biological sex occurs in humans.,Understanding
Describe the process of cloning and explain how it can help to prevent plant species from becoming extinct.,Understanding
How does the modern-day use of genome sequencing help us to genetically modify organisms?,Understanding
"Describe the ovarian cycle. Include the hormones involved (LH, FSH, oestrogen and progesterone).",Understanding
Mr. Smith has Benign prostatic hypertrophy (BPH) which is common condition affecting elderly men. What is the main symptom of BPH?,Understanding
Describe the path of sperm through the male reproductive tract. Include a description of any secretion that join the sperm or any changes that occur to the sperm along the way.,Understanding
Explain the principle of dominance ,Understanding
Explain Mendel's law of segregation,Understanding
"Distinguish between Complete, incomplete and co-dominance ",Understanding
Distinguish between Heterozygous and homozygous ,Understanding
Distinguish between Phenotype and genotype,Understanding
"Distinguish between Harmful (lethal) mutations, harmless mutations and useful (fixed) mutations ",Understanding
Distinguish between Genetic engineering and biotechnology,Understanding
Suggest why Mendel’s choice of pea plants for his investigation on inheritance was a good choice.,Understanding
Why did Mendel repeat his investigation several times?,Understanding
Name TWO health benefits of omega-3 fatty acids.,Understanding
Sex-linked genes on the y chromosome have been found in humans and other animal species. Suggest and explain one piece of evidence which would support the presence of such a gene.,Understanding
Explain the genetic principles which enable the sex of a child to be pre-determined.,Understanding
Darwin suggested the theory of natural selection. Explain how natural selection occurs.,Understanding
Many people have DNA mutations that go unnoticed. What type of mutation is most likely to have no effect on phenotype?,Understanding
What type of factor is involved in determining body mass?,Understanding
What type of factor is involved in determining language?,Understanding
What type of factor is involved in determining natural eye colour?,Understanding
What characteristic shows continuous variation?,Understanding
What do mutagens cause?,Understanding
What type of factor is involved in determining intelligence?,Understanding
What is the distinction between interspecific competition and intraspecific competition?,Understanding
What two abiotic factors might affect an animal living at the bottom of the sea and a plant growing on a mountainside?,Understanding
What two biotic factors could affect an antelope living in the Serengeti?,Understanding
Give two examples of artificial ecosystems.,Understanding
Give three ways in which a polar bear is adapted to its environment.,Understanding
Give three ways in which a plant might be adapted to a hot dry environment.,Understanding
What are the principal sources of excessive nitrate and phosphate in rivers and lakes?,Understanding
Which part of the carbon cycle is responsible for the increasing concentration of carbon dioxide in the atmosphere.,Understanding
Explain briefly why ‘greenhouse’ gases lead to global warming.,Understanding
In what way do chlorofluorocarbons (CFCs) cause global problems?,Understanding
What is the difference between prokaryotic and eukaryotic cells,Understanding
"Under the process of natural selection, which individuals are most likely to survive and reproduce?",Understanding
State a pro and a con of doing laboratory experiments to learn about the natural world.,Understanding
How does life on Earth evolve?,Understanding
What is the difference between growth and developement?,Understanding
How does a root hair cell increase its surface area to volume ration to absorb water effiently for plants?,Understanding
Explain diffusion is the movement of particles.,Understanding
Describe diffusion of water.,Understanding
Describe how phospholipids are arranged in a plasma membrane,Understanding
Cell that secrete enzymes contain a lot of rough endoplasmic reticulum (RER) and a large Golgi apparatus. Describe how RER is involved in the production of enzymes.,Understanding
Describe how the Golgi apparatus is involved in the secretion of enzymes.,Understanding
Explain membrane phospholipids  ,Understanding
How have microscopes developed over the years?,Understanding
Give advantage of the transmission electron microscope compared with the light microscope?,Understanding
How is a muscle adapted to its function? Explain.,Understanding
What are two of the three major differences between animal cells and plant cells?,Understanding
Cells have larger vacuoles? Describe,Understanding
The sodium-potassium pump helps to maintain electrolyte gradients through use of ATP. Which of the best term describes this type of transport?,Understanding
Why does the sodium-potassium pump require ATP to function properly?,Understanding
What is true about the sodium-potassium pump? Describe.,Understanding
What is true of an electrochemical gradient? Explain.,Understanding
Describes the composition of the plasma membrane of an animal cell?,Understanding
Explain about the fluidity of plasma membranes.,Understanding
"Some proteins span the cellular membranes multiple times, weaving in and out of them. What parts of the protein would be on the inside and outside of the membrane?",Understanding
